Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_3,9,Test,Test,Good,Sam,`The mystery box contains a grey ball or a green ball.',A-AA-B,a green ball,a green ball and a green ball,a grey ball,green,grey,yellow,blue,Bad,Good,1|2|4|8|7|3|5|6,-5.473758220672607,-6.012820720672607,-5.473758220672607,-6.012820720672607
Deganoetal_2024,Exp_3,10,Test,Control_4,Bad,Sam,`The mystery box does not contain a grey ball or a blue ball.',A-CD-B,a green ball and a yellow ball,a grey ball,a blue ball,grey,blue,green,yellow,Bad,Good,2|1|3|6|4|8|7|5,-5.272719860076904,-6.132094860076904,-5.272719860076904,-6.132094860076904
Deganoetal_2024,Exp_3,11,Test,Test,Good-Excl,Mia,`The mystery box contains a yellow ball or a grey ball.',A-AB-B,a yellow ball,a grey ball and a yellow ball,a grey ball,grey,yellow,green,blue,Bad,Good,6|1|2|7|8|5|4|3,-4.824462890625,-6.121337890625,-4.824462890625,-6.121337890625
Deganoetal_2024,Exp_3,12,Test,Test,Target_1,Mia,`The mystery box contains a grey ball or a green ball.',A-AB-AB,a green ball and a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,6|2|1|3|4|8|5|7,-5.362802982330322,-6.706552982330322,-5.362802982330322,-6.706552982330322
Deganoetal_2024,Exp_3,13,Test,Control_4,Good,Sam,`The mystery box does not contain a blue ball or a grey ball.',C-CD-C,a yellow ball,a yellow ball,a yellow and a green ball,blue,grey,yellow,green,Bad,Good,2|1|5|4|8|7|3|6,-5.288890361785889,-6.937327861785889,-5.288890361785889,-6.937327861785889
Deganoetal_2024,Exp_3,14,Test,Control_1,Bad,Sam,`The mystery box contains a green ball.',A-CD-C,a green ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good,5|6|2|3|4|1|7|8,-5.178267478942871,-5.787642478942871,-5.178267478942871,-5.787642478942871
Deganoetal_2024,Exp_3,15,Test,Test,Target_2,Mia,`The mystery box contains a green ball or a grey ball.',A-AA-A,a grey ball,a grey ball and a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,4|2|6|5|3|1|8|7,-5.415982723236084,-6.173795223236084,-5.415982723236084,-6.173795223236084
Deganoetal_2024,Exp_3,16,Test,Control_3,Good,Sam,`The mystery box contains a grey ball and a green ball.',AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,blue,yellow,Bad,Good,2|5|1|4|7|8|6|3,-4.505805969238281,-5.841743469238281,-4.505805969238281,-5.841743469238281
Deganoetal_2024,Exp_3,17,Test,Control_2,Good,Mia,`The mystery box does not contain a blue ball.',C-CD-C,a green ball,a green ball and a yellow ball,a green ball,blue,grey,green,yellow,Bad,Good,5|1|3|6|8|2|4|7,-5.075956344604492,-6.544706344604492,-5.075956344604492,-6.544706344604492
Deganoetal_2024,Exp_3,18,Test,Control_4,Bad,Mia,`The mystery box does not contain a blue ball or a grey ball.',A-CD-B,a blue ball,a grey ball,a green ball and a yellow ball,blue,grey,green,yellow,Bad,Good,6|8|7|3|4|1|2|5,-5.130705833435059,-5.833830833435059,-5.130705833435059,-5.833830833435059
Deganoetal_2024,Exp_3,19,Test,Test,Good-Excl,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,blue,green,Bad,Good,8|4|3|2|5|1|6|7,-5.11790657043457,-6.16478157043457,-5.11790657043457,-6.16478157043457
Deganoetal_2024,Exp_3,20,Test,Control_3,Good,Mia,`The mystery box contains a grey ball and a green ball.',AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,blue,yellow,Bad,Good,5|2|4|8|7|1|3|6,-5.083897590637207,-7.208897590637207,-5.083897590637207,-7.208897590637207
Deganoetal_2024,Exp_3,21,Test,Control_1,Bad,Mia,`The mystery box contains a blue ball.',A-CD-C,a yellow and a green ball,a yellow ball,a blue ball,blue,grey,yellow,green,Bad,Good,7|2|1|6|3|4|8|5,-5.635051727294922,-6.111614227294922,-5.635051727294922,-6.111614227294922
Deganoetal_2024,Exp_3,22,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AB-A,a yellow ball,a yellow ball,a yellow ball and a blue ball,yellow,blue,grey,green,Bad,Good,3|6|4|7|8|5|2|1,-5.369607448577881,-6.908669948577881,-5.369607448577881,-6.908669948577881
Deganoetal_2024,Exp_3,23,Test,Test,Good-Excl,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AB-B,a yellow ball and a grey ball,a grey ball,a yellow ball,yellow,grey,green,blue,Bad,Good,2|7|1|4|6|3|8|5,-5.44212007522583,-6.41868257522583,-5.44212007522583,-6.41868257522583
Deganoetal_2024,Exp_3,24,Test,Test,Bad,Mia,`The mystery box contains a green ball or a blue ball.',A-CD-B,a green ball,a grey ball and a yellow ball,a blue ball,blue,green,grey,yellow,Bad,Good,2|7|5|4|3|8|1|6,-5.4640607833862305,-6.0890607833862305,-5.4640607833862305,-6.0890607833862305
