Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_5,25,Test,Intermediate,Negative,SI,Bad,Mia,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,11|12|2|24|8|6|20|21|18|9|13|17|1|7|16|14|10|22|5|19|3|4|23|15,-25.2500057220459,-24.7954158782959,-25.2500057220459,-24.7954158782959
Martyetal_2022,Exp_5,26,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a grey ball.,A-C-B,a blue ball,a green ball,a grey ball,blue,grey,green,yellow,Bad,Good,7|19|16|10|18|3|13|2|17|6|5|4|22|23|14|1|21|11|15|8|20|12|9|24,-25.76746368408203,-25.56397247314453,-25.76746368408203,-25.56397247314453
Martyetal_2022,Exp_5,27,Test,Intermediate,Positive,II,Good,Mia,The mystery box contains either a yellow ball or a blue ball.,A-B-A,a yellow ball,a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,10|9|24|5|14|7|12|4|2|19|21|17|20|3|18|8|15|22|6|11|23|1|16|13,-25.4863338470459,-25.5124568939209,-25.4863338470459,-25.5124568939209
Martyetal_2022,Exp_5,28,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,10|14|5|23|11|16|15|7|3|4|22|18|8|20|2|1|24|21|9|13|19|17|6|12,-24.996585845947266,-24.761722564697266,-24.996585845947266,-24.761722564697266
Martyetal_2022,Exp_5,29,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,17|3|14|24|9|2|7|8|20|4|22|18|12|5|21|23|11|19|10|1|15|6|13|16,-24.7707576751709,-24.4648494720459,-24.7707576751709,-24.4648494720459
Martyetal_2022,Exp_5,30,Test,Intermediate,Negative,SI,Good,Mia,It is possible that the mystery box does not contain a grey ball.,A-D-A,a grey ball,a blue ball,a grey ball,grey,green,yellow,blue,Bad,Good,10|17|9|5|13|7|15|14|23|1|11|16|24|18|22|2|4|12|21|19|3|8|20|6,-25.2857723236084,-25.0627498626709,-25.2857723236084,-25.0627498626709
Martyetal_2022,Exp_5,31,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,18|13|23|9|8|19|22|3|10|17|16|11|14|21|1|4|7|5|2|20|6|15|12|24,-25.2932186126709,-24.6660213470459,-25.2932186126709,-24.6660213470459
Martyetal_2022,Exp_5,32,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a yellow ball.,A-AB-B,a grey ball,a grey ball and a yellow ball,a yellow ball,grey,yellow,blue,green,Bad,Good,16|17|24|4|19|10|15|18|12|11|21|3|2|5|1|8|23|20|22|13|6|14|7|9,-25.12696075439453,-25.17969512939453,-25.12696075439453,-25.17969512939453
Martyetal_2022,Exp_5,33,Test,Intermediate,Positive,SI,Good,Mia,It is possible that the mystery box contains a blue ball.,A-D-C,a blue ball,a yellow ball,a grey ball,blue,green,grey,yellow,Bad,Good,18|2|23|21|11|8|24|14|20|17|6|19|5|16|22|10|7|15|13|9|12|1|4|3,-25.420902252197266,-24.786136627197266,-25.420902252197266,-24.786136627197266
Martyetal_2022,Exp_5,34,Test,Intermediate,Positive,SI,Target,Mia,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good,6|3|21|15|11|10|13|7|9|4|5|17|23|24|12|8|18|19|2|1|22|16|20|14,-25.122562408447266,-24.998538970947266,-25.122562408447266,-24.998538970947266
Martyetal_2022,Exp_5,35,Test,Intermediate,Positive,DIST,Target,Sam,It is certain that the mystery box contains either a grey ball or a yellow ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,yellow,green,blue,Bad,Good,3|15|12|23|13|2|16|6|18|1|19|11|7|21|5|14|10|22|8|9|4|24|17|20,-25.3166561126709,-24.5791072845459,-25.3166561126709,-24.5791072845459
Martyetal_2022,Exp_5,36,Test,Intermediate,Positive,II,Bad,Sam,The mystery box contains either a grey ball or a green ball.,D-C-D,a yellow ball,a blue ball,a yellow ball,grey,green,blue,yellow,Bad,Good,21|22|20|23|24|11|9|5|2|8|7|14|1|19|16|3|6|15|10|13|18|17|12|4,-25.3945369720459,-25.5720272064209,-25.3945369720459,-25.5720272064209
Martyetal_2022,Exp_5,37,Test,Intermediate,Negative,II,Bad,Mia,The mystery box does not contain both a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,22|14|1|8|23|18|24|10|16|11|15|17|4|6|7|13|20|3|2|19|5|9|21|12,-24.57251739501953,-24.34424591064453,-24.57251739501953,-24.34424591064453
Martyetal_2022,Exp_5,38,Test,Intermediate,Positive,SI,Bad,Sam,It is possible that the mystery box contains a green ball.,D-D-D,a yellow ball,a yellow ball,a yellow ball,green,blue,grey,yellow,Bad,Good,21|2|13|9|6|4|7|22|10|3|24|15|19|8|16|20|17|12|11|18|1|23|5|14,-24.6499080657959,-24.8535213470459,-24.6499080657959,-24.8535213470459
Martyetal_2022,Exp_5,39,Test,Intermediate,Positive,II,Target,Mia,The mystery box contains either a grey ball or a green ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,3|1|19|18|21|22|6|4|9|16|7|14|2|24|23|17|8|13|15|5|20|11|10|12,-25.641849517822266,-25.223636627197266,-25.641849517822266,-25.223636627197266
Martyetal_2022,Exp_5,40,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a blue ball.,D-D-D,a green ball,a green ball,a green ball,blue,yellow,grey,green,Bad,Good,8|24|13|9|15|7|6|10|12|14|11|1|3|17|4|22|18|5|16|2|20|19|21|23,-25.0351619720459,-25.3122615814209,-25.0351619720459,-25.3122615814209
Martyetal_2022,Exp_5,41,Test,Intermediate,Negative,DIST,Bad,Mia,It is certain that the mystery box does not contain both a blue ball and a green ball.,A-AB-B,a blue ball,a blue ball and a green ball,a green ball,blue,green,grey,yellow,Bad,Good,2|15|22|23|4|8|19|9|24|10|1|17|5|13|20|3|14|6|7|21|11|12|16|18,-25.39118194580078,-25.491844177246094,-25.39118194580078,-25.491844177246094
Martyetal_2022,Exp_5,42,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a grey ball,a grey ball,a grey ball,yellow,green,blue,grey,Bad,Good,10|16|14|5|17|24|15|4|1|2|12|7|23|22|9|6|18|20|8|3|21|11|19|13,-25.2114315032959,-25.2460994720459,-25.2114315032959,-25.2460994720459
Martyetal_2022,Exp_5,43,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a yellow ball.,A-C-B,a blue ball,a green ball,a yellow ball,blue,yellow,green,grey,Bad,Good,16|22|4|19|18|11|8|7|10|13|20|2|3|21|23|14|1|12|17|5|24|6|9|15,-25.5218563079834,-25.2561092376709,-25.5218563079834,-25.2561092376709
Martyetal_2022,Exp_5,44,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a yellow ball or a grey ball.,A-C-A,a yellow ball,a blue ball,a yellow ball,yellow,grey,blue,green,Bad,Good,3|21|17|11|8|1|18|5|7|12|22|16|23|20|24|9|10|19|14|13|4|2|6|15,-25.1147518157959,-25.0600643157959,-25.1147518157959,-25.0600643157959
Martyetal_2022,Exp_5,45,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,grey,blue,Bad,Good,14|9|11|21|5|2|15|18|10|6|17|20|16|22|13|23|4|19|7|8|12|1|24|3,-24.67237091064453,-25.00818634033203,-24.67237091064453,-25.00818634033203
Martyetal_2022,Exp_5,46,Test,Intermediate,Positive,FC,Bad,Mia,It is possible that the mystery box contains either a green ball or a grey ball.,D-C-D,a blue ball,a yellow ball,a blue ball,green,grey,yellow,blue,Bad,Good,22|17|2|21|11|6|19|15|5|12|13|4|7|16|18|9|8|1|14|10|24|3|20|23,-25.53369903564453,-25.43921661376953,-25.53369903564453,-25.43921661376953
Martyetal_2022,Exp_5,47,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a blue ball.,A-AB-B,a grey ball,a grey ball and a blue ball,a blue ball,grey,blue,green,yellow,Bad,Good,7|3|23|14|5|10|13|16|24|2|9|6|4|19|11|21|12|8|1|18|15|22|20|17,-24.8325252532959,-24.5835018157959,-24.8325252532959,-24.5835018157959
Martyetal_2022,Exp_5,48,Test,Intermediate,Negative,DIST,Good,Mia,It is certain that the mystery box does not contain both a green ball and a grey ball.,A-B-A,a green ball,a grey ball,a green ball,green,grey,yellow,blue,Bad,Good,12|9|10|18|14|5|6|21|16|3|22|7|8|23|4|19|17|24|20|15|13|11|1|2,-25.30225372314453,-25.32288360595703,-25.30225372314453,-25.32288360595703
Martyetal_2022,Exp_5,49,Test,Intermediate,Negative,II,Good,Mia,The mystery box does not contain both a blue ball and a yellow ball.,A-B-A,a blue ball,a yellow ball,a blue ball,blue,yellow,grey,green,Bad,Good,18|2|24|15|6|17|11|4|14|7|3|19|20|21|5|8|22|12|1|16|23|10|13|9,-25.3132381439209,-24.9399471282959,-25.3132381439209,-24.9399471282959
Martyetal_2022,Exp_5,50,Test,Intermediate,Positive,SI,Target,Sam,It is possible that the mystery box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,green,yellow,Bad,Good,18|17|2|14|11|15|9|20|23|6|13|16|22|21|4|8|7|10|1|12|19|24|3|5,-25.1289119720459,-24.7119197845459,-25.1289119720459,-24.7119197845459
