Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,63|57|1|6|4|5|59|3|61|60|64|7|62|2|58|8,-8.025644302368164,-7.799081802368164,-8.025644302368164,-7.799081802368164
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,3|1|57|64|5|60|59|6|8|7|61|4|63|2|62|58,-8.46142578125,-7.89111328125,-8.46142578125,-7.89111328125
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,4|60|64|62|5|1|8|61|63|59|2|57|58|3|7|6,-9.123456001281738,-7.83048677444458,-9.123456001281738,-7.83048677444458
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,1|3|57|61|2|5|62|59|7|8|63|4|6|64|58|60,-8.36409854888916,-8.05941104888916,-8.36409854888916,-8.05941104888916
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,7|4|8|59|2|61|57|63|60|64|3|58|1|5|62|6,-8.361159324645996,-7.103347301483154,-8.361159324645996,-7.103347301483154
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,5|3|4|60|59|8|62|2|63|64|57|6|7|58|1|61,-8.200325012207031,-7.700324535369873,-8.200325012207031,-7.700324535369873
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,6|3|57|1|62|7|8|4|5|60|59|63|64|61|2|58,-7.848822593688965,-7.262885093688965,-7.848822593688965,-7.262885093688965
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,8|59|5|1|61|6|7|4|63|2|60|58|64|3|62|57,-8.197509765625,-7.674072742462158,-8.197509765625,-7.674072742462158
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,62|7|5|64|60|59|1|8|63|6|58|3|57|2|4|61,-7.923292636871338,-7.220167636871338,-7.923292636871338,-7.220167636871338
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,5|1|3|8|6|61|7|64|63|58|2|60|4|59|62|57,-8.399295806884766,-7.473515033721924,-8.399295806884766,-7.473515033721924
Martyetal_2023,Exp_1,Epistemic,19,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,5|1|57|4|6|64|3|59|8|62|2|61|7|60|58|63,-8.200044631958008,-8.020357131958008,-8.200044631958008,-8.020357131958008
Martyetal_2023,Exp_1,Epistemic,20,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a yellow ball.,A-AB-B,a green ball,a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,60|6|8|57|59|5|63|58|4|64|2|1|61|3|62|7,-8.154308319091797,-7.544933795928955,-8.154308319091797,-7.544933795928955
