Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_2,9,Test,Control_2,Bad,Mia,`The mystery box does not contain a grey ball.',A-CD-A,a grey ball,a grey ball,a blue ball and a green ball,grey,yellow,blue,green,Bad,Good,2|3|8|5|4|1|6|7,-4.625,-4.4453125,-13.875,-13.3359375
Deganoetal_2024,Exp_2,10,Test,Control_3,Good,Sam,`The mystery box contains a yellow ball and a blue ball.',AB-AB-AB,a yellow ball and a blue ball,a yellow ball and a blue ball,a yellow ball and a blue ball,yellow,blue,grey,green,Bad,Good,3|4|8|1|7|2|6|5,-4.34765625,-4.15234375,-13.0390625,-12.4609375
Deganoetal_2024,Exp_2,11,Test,Control_4,Good,Sam,`The mystery box does not contain a grey ball or a blue ball.',C-CD-C,a green ball,a green ball and a yellow ball,a green ball,grey,blue,green,yellow,Bad,Good,4|7|8|1|2|3|6|5,-4.46484375,-4.296875,-13.390625,-12.890625
Deganoetal_2024,Exp_2,12,Test,Test,Good,Mia,`The mystery box contains a green ball or a blue ball.',A-AA-B,a green ball and a green ball,a blue ball,a green ball,green,blue,grey,yellow,Bad,Good,6|7|8|2|5|1|4|3,-4.5546875,-4.19140625,-13.65625,-12.5703125
Deganoetal_2024,Exp_2,13,Test,Control_1,Good,Sam,`The mystery box contains a green ball.',A-A-A,a green ball,a green ball,a green ball,green,grey,yellow,blue,Bad,Good,3|2|5|6|1|7|8|4,-4.41015625,-4.18359375,-13.234375,-12.546875
Deganoetal_2024,Exp_2,14,Test,Control_4,Good,Mia,`The mystery box does not contain a green ball or a blue ball.',C-CD-C,a grey ball,a grey ball,a grey ball and a yellow ball,green,blue,grey,yellow,Bad,Good,3|8|6|5|7|1|2|4,-4.2890625,-4.1875,-12.875,-12.5703125
Deganoetal_2024,Exp_2,15,Test,Test,Good,Mia,`The mystery box contains a blue ball or a green ball.',A-AA-B,a green ball,a blue ball,a blue ball and a blue ball,blue,green,yellow,grey,Bad,Good,3|2|5|4|1|8|6|7,-4.26171875,-4.53515625,-12.7890625,-13.609375
Deganoetal_2024,Exp_2,16,Test,Test,Bad,Sam,`The mystery box contains a green ball or a grey ball.',A-CD-B,a green ball,a yellow ball and a blue ball,a grey ball,green,grey,yellow,blue,Bad,Good,4|8|5|6|3|1|7|2,-4.609375,-4.34765625,-13.8359375,-13.046875
Deganoetal_2024,Exp_2,17,Test,Control_1,Bad,Mia,`The mystery box contains a green ball.',A-CD-C,a green ball,a grey ball,a grey ball and a yellow ball,green,blue,grey,yellow,Bad,Good,7|5|4|6|2|8|1|3,-4.36328125,-4.35546875,-13.0859375,-13.0625
Deganoetal_2024,Exp_2,18,Test,Control_4,Bad,Mia,`The mystery box does not contain a grey ball or a green ball.',A-CD-B,a grey ball,a green ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,1|2|3|8|5|4|7|6,-4.33984375,-4.15625,-13.0234375,-12.46875
