Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_5,25,Test,Intermediate,Negative,SI,Bad,Mia,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,8|5|20|7|23|19|15|2|9|1|24|18|10|16|21|14|17|11|22|13|12|6|3|4,-11.015625,-12.734375,-11.015625,-12.734375
Martyetal_2022,Exp_5,26,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a grey ball.,A-C-B,a blue ball,a green ball,a grey ball,blue,grey,green,yellow,Bad,Good,2|11|3|19|14|21|20|6|24|15|8|12|7|4|13|16|10|9|17|5|23|22|1|18,-11.25,-13.140625,-11.25,-13.140625
Martyetal_2022,Exp_5,27,Test,Intermediate,Positive,II,Good,Mia,The mystery box contains either a yellow ball or a blue ball.,A-B-A,a yellow ball,a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,7|17|18|5|20|13|8|22|4|6|12|19|21|15|23|14|10|3|16|1|2|24|11|9,-10.671875,-12.640625,-10.671875,-12.640625
Martyetal_2022,Exp_5,28,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,13|21|15|3|1|10|24|23|11|8|4|17|6|19|12|9|5|18|14|22|7|20|2|16,-11.3359375,-13.46875,-11.3359375,-13.46875
Martyetal_2022,Exp_5,29,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,10|13|23|12|20|18|17|4|5|19|15|9|2|11|14|1|8|24|6|16|3|22|21|7,-7.8984375,-11.296875,-7.8984375,-11.296875
Martyetal_2022,Exp_5,30,Test,Intermediate,Negative,SI,Good,Mia,It is possible that the mystery box does not contain a grey ball.,A-D-A,a grey ball,a blue ball,a grey ball,grey,green,yellow,blue,Bad,Good,4|14|12|24|7|15|2|22|23|18|9|6|3|11|19|5|20|8|13|10|21|16|1|17,-10.78125,-12.2265625,-10.78125,-12.2265625
Martyetal_2022,Exp_5,31,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,6|13|11|7|18|20|23|19|3|12|4|24|15|14|1|22|10|9|17|16|2|8|5|21,-11.625,-13.5703125,-11.625,-13.5703125
Martyetal_2022,Exp_5,32,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a yellow ball.,A-AB-B,a grey ball,a grey ball and a yellow ball,a yellow ball,grey,yellow,blue,green,Bad,Good,18|19|4|16|23|2|9|24|1|11|20|21|15|6|22|14|5|8|7|12|13|10|17|3,-9.953125,-13.6953125,-9.953125,-13.6953125
Martyetal_2022,Exp_5,33,Test,Intermediate,Positive,SI,Good,Mia,It is possible that the mystery box contains a blue ball.,A-D-C,a blue ball,a yellow ball,a grey ball,blue,green,grey,yellow,Bad,Good,9|21|22|19|1|8|11|3|10|17|12|24|6|15|18|23|5|14|13|7|20|16|2|4,-10.4140625,-11.9921875,-10.4140625,-11.9921875
Martyetal_2022,Exp_5,34,Test,Intermediate,Positive,SI,Target,Mia,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good,13|1|8|12|16|6|18|20|17|15|23|22|7|19|4|2|9|5|24|3|14|11|10|21,-11.2109375,-13.234375,-11.2109375,-13.234375
Martyetal_2022,Exp_5,35,Test,Intermediate,Positive,DIST,Target,Sam,It is certain that the mystery box contains either a grey ball or a yellow ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,yellow,green,blue,Bad,Good,7|13|8|23|16|20|4|15|14|9|12|18|10|17|2|3|1|19|11|6|21|24|22|5,-10.9296875,-12.2578125,-10.9296875,-12.2578125
Martyetal_2022,Exp_5,36,Test,Intermediate,Positive,II,Bad,Sam,The mystery box contains either a grey ball or a green ball.,D-C-D,a yellow ball,a blue ball,a yellow ball,grey,green,blue,yellow,Bad,Good,6|17|13|20|24|8|5|19|21|15|9|1|7|2|16|22|14|4|18|3|23|10|11|12,-10.875,-13.8046875,-10.875,-13.8046875
Martyetal_2022,Exp_5,37,Test,Intermediate,Negative,II,Bad,Mia,The mystery box does not contain both a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,7|8|17|19|22|3|20|4|11|18|6|21|13|2|1|15|5|23|16|14|12|10|24|9,-8.5703125,-12.8671875,-8.5703125,-12.8671875
Martyetal_2022,Exp_5,38,Test,Intermediate,Positive,SI,Bad,Sam,It is possible that the mystery box contains a green ball.,D-D-D,a yellow ball,a yellow ball,a yellow ball,green,blue,grey,yellow,Bad,Good,11|20|17|22|9|6|10|13|19|7|23|12|4|24|18|5|21|3|2|15|14|8|16|1,-10.7421875,-13.0390625,-10.7421875,-13.0390625
Martyetal_2022,Exp_5,39,Test,Intermediate,Positive,II,Target,Mia,The mystery box contains either a grey ball or a green ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,green,blue,yellow,Bad,Good,19|3|7|1|17|13|22|5|23|10|2|11|12|20|16|24|4|9|6|14|8|21|15|18,-11.2890625,-12.9921875,-11.2890625,-12.9921875
