Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,1|57|60|8|59|6|4|58|7|5|63|3|2|62|64|61,-9.3064546585083,-68.37283325195312,-9.3064546585083,-68.37283325195312
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,59|8|2|6|58|5|60|63|7|62|64|1|3|61|4|57,-14.10429573059082,-72.53468322753906,-14.10429573059082,-72.53468322753906
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,60|61|4|2|3|5|1|58|63|57|8|62|7|64|6|59,-53.74798583984375,-15.582308769226074,-53.74798583984375,-15.582308769226074
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,62|7|3|64|4|58|59|60|2|61|57|5|6|63|1|8,-15.861968994140625,-67.14104461669922,-15.861968994140625,-67.14104461669922
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,5|64|7|63|8|61|2|6|1|59|57|60|3|58|4|62,-55.22464370727539,-50.1955451965332,-55.22464370727539,-50.1955451965332
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,5|63|6|64|7|2|1|3|8|62|58|61|4|60|57|59,-10.678525924682617,-77.09375762939453,-10.678525924682617,-77.09375762939453
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,5|4|57|1|59|64|6|61|58|2|8|3|60|63|62|7,-10.854715347290039,-74.37501525878906,-10.854715347290039,-74.37501525878906
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,3|8|4|62|59|64|7|6|1|60|57|2|5|58|63|61,-14.315360069274902,-76.65625,-14.315360069274902,-76.65625
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,59|62|57|60|6|8|4|61|58|1|2|5|63|3|7|64,-10.006357192993164,-74.93765258789062,-10.006357192993164,-74.93765258789062
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,57|59|60|3|58|64|1|63|6|62|2|7|8|61|4|5,-55.323829650878906,-37.202598571777344,-55.323829650878906,-37.202598571777344
Martyetal_2023,Exp_1,Epistemic,19,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,7|3|58|60|6|64|2|8|5|59|1|61|63|62|57|4,-13.470534324645996,-67.63713073730469,-13.470534324645996,-67.63713073730469
Martyetal_2023,Exp_1,Epistemic,20,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a yellow ball.,A-AB-B,a green ball,a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,6|5|59|3|62|2|63|60|64|4|7|8|1|57|58|61,-12.594221115112305,-77.0,-12.594221115112305,-77.0
Martyetal_2023,Exp_1,Epistemic,21,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball and a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,57|64|61|8|1|7|62|6|63|58|59|5|3|60|4|2,-12.613324165344238,-73.57853698730469,-12.613324165344238,-73.57853698730469
Martyetal_2023,Exp_1,Epistemic,22,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a green ball or a yellow ball.,A-AB-A,a green ball,a green ball,a green ball and a yellow ball,green,yellow,grey,blue,Bad,Good,2|60|5|58|62|59|3|6|57|63|8|61|1|64|4|7,-70.2500991821289,-62.73524475097656,-70.2500991821289,-62.73524475097656
Martyetal_2023,Exp_1,Epistemic,23,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a blue ball.,A-CD-A,a grey ball,a green ball and a yellow ball,a grey ball,grey,blue,green,yellow,Bad,Good,59|7|6|57|1|62|63|60|4|5|3|58|8|64|61|2,-43.347084045410156,-72.59375762939453,-43.347084045410156,-72.59375762939453
Martyetal_2023,Exp_1,Epistemic,24,Test,Block_A,Nominal,Control_2,Bad,Mia,Every visible box contains a green ball and a blue ball.,AB-CD-C,a yellow ball,a yellow ball and a grey ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,1|2|7|64|62|6|5|8|58|4|59|3|57|63|61|60,-41.89615249633789,-42.210479736328125,-41.89615249633789,-42.210479736328125
Martyetal_2023,Exp_1,Epistemic,25,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a yellow ball or a green ball.,A-AC-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,green,blue,grey,Bad,Good,8|63|59|2|7|6|3|4|58|64|61|5|1|62|57|60,-70.31263732910156,-69.28125762939453,-70.31263732910156,-69.28125762939453
Martyetal_2023,Exp_1,Epistemic,26,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a grey ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,58|57|5|1|4|2|61|7|8|59|64|3|60|63|6|62,-56.80516052246094,-61.0322380065918,-56.80516052246094,-61.0322380065918
Martyetal_2023,Exp_1,Epistemic,27,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a blue ball or a grey ball.,A-AB-AB,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,1|59|7|61|5|2|63|6|62|60|58|64|3|57|4|8,-9.674095153808594,-70.16216278076172,-9.674095153808594,-70.16216278076172
Martyetal_2023,Exp_1,Epistemic,28,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a green ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,2|61|63|60|58|3|62|7|59|8|4|57|5|6|1|64,-65.12004852294922,-62.55144500732422,-65.12004852294922,-62.55144500732422
