Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_6,25,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,18|8|4|23|6|10|15|21|9|24|14|5|16|11|12|20|7|1|19|3|22|2|13|17,-4.951365947723389,-5.357615947723389,-4.951365947723389,-5.357615947723389
Martyetal_2022,Exp_6,26,Test,Low,Positive,FC,Good,Sam,It is possible that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,3|10|6|12|2|13|17|5|8|7|23|1|20|21|14|24|16|4|22|11|15|19|9|18,-4.82643985748291,-5.27175235748291,-4.82643985748291,-5.27175235748291
Martyetal_2022,Exp_6,27,Test,Low,Positive,SI,Good,Mia,It is possible that the mystery box contains a green ball.,A-D-C,a green ball,a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,1|17|7|22|8|6|11|16|15|23|19|18|12|21|13|24|10|9|3|20|14|4|2|5,-5.072844505310059,-5.768157005310059,-5.072844505310059,-5.768157005310059
Martyetal_2022,Exp_6,28,Test,Low,Positive,DIST,Bad,Sam,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,20|19|16|14|24|5|6|9|18|1|13|23|7|8|17|11|15|12|4|10|3|2|21|22,-5.438177585601807,-4.906927585601807,-5.438177585601807,-4.906927585601807
Martyetal_2022,Exp_6,29,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a grey ball or it contains a blue ball.,D-C-D,a green ball,a yellow ball,a green ball,grey,blue,yellow,green,Bad,Good,19|5|16|9|17|4|24|10|2|3|22|20|14|7|21|1|23|13|12|18|6|11|8|15,-5.3643012046813965,-4.7783637046813965,-5.3643012046813965,-4.7783637046813965
Martyetal_2022,Exp_6,30,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a blue ball.,A-A-A,a green ball,a green ball,a green ball,green,blue,yellow,grey,Bad,Good,7|6|13|12|5|20|8|23|9|11|4|3|18|21|17|16|22|19|14|24|1|15|10|2,-4.981896877288818,-5.497521877288818,-4.981896877288818,-5.497521877288818
Martyetal_2022,Exp_6,31,Test,Low,Negative,DIST,Bad,Sam,It is certain that either the mystery box does not contain a blue ball or it does not contain a yellow ball.,A-AB-B,a blue ball,a blue ball and a yellow ball,a yellow ball,blue,yellow,green,grey,Bad,Good,19|22|20|3|24|8|5|17|10|2|18|9|4|1|21|23|16|11|7|6|13|14|12|15,-5.450080394744873,-4.957892894744873,-5.450080394744873,-4.957892894744873
Martyetal_2022,Exp_6,32,Test,Low,Negative,DIST,Good,Mia,It is certain that either the mystery box does not contain a green ball or it does not contain a blue ball.,A-B-A,a green ball,a blue ball,a green ball,green,blue,yellow,grey,Bad,Good,16|4|24|5|13|18|22|10|17|21|14|7|15|9|11|8|12|19|20|3|6|23|2|1,-5.030942440032959,-5.749692440032959,-5.030942440032959,-5.749692440032959
Martyetal_2022,Exp_6,33,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a blue ball or it contains a yellow ball.,D-C-D,a grey ball,a green ball,a grey ball,blue,yellow,green,grey,Bad,Good,8|24|7|1|4|6|5|20|18|12|11|15|17|10|22|2|3|13|23|19|9|14|21|16,-4.7861762046813965,-5.2861762046813965,-4.7861762046813965,-5.2861762046813965
Martyetal_2022,Exp_6,34,Test,Low,Negative,II,Good,Mia,Either the mystery box does not contain a grey ball or it does not contain a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,24|8|20|21|18|23|15|2|12|13|3|14|9|17|7|11|22|6|5|10|1|4|19|16,-4.9794158935546875,-5.5341033935546875,-4.9794158935546875,-5.5341033935546875
