Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_6,25,Test,Low,Negative,SI,Bad,Sam,It is possible that the mystery box does not contain a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,20|8|13|15|24|10|2|21|1|11|18|22|4|9|17|7|23|5|12|19|3|6|14|16,-26.85996437072754,-24.72275733947754,-26.85996437072754,-24.72275733947754
Martyetal_2022,Exp_6,26,Test,Low,Positive,FC,Good,Sam,It is possible that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,19|23|21|10|16|7|3|4|14|24|15|8|17|9|20|2|13|18|1|22|12|11|6|5,-26.65880584716797,-24.86925506591797,-26.65880584716797,-24.86925506591797
Martyetal_2022,Exp_6,27,Test,Low,Positive,SI,Good,Mia,It is possible that the mystery box contains a green ball.,A-D-C,a green ball,a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,24|23|19|13|3|14|11|18|21|2|15|8|17|22|12|7|16|1|6|20|9|5|10|4,-26.135404586791992,-24.998197555541992,-26.135404586791992,-24.998197555541992
Martyetal_2022,Exp_6,28,Test,Low,Positive,DIST,Bad,Sam,It is certain that either the mystery box contains a green ball or it contains a yellow ball.,A-C-B,a green ball,a grey ball,a yellow ball,green,yellow,grey,blue,Bad,Good,20|14|16|24|23|15|22|1|19|8|4|10|2|11|5|13|17|3|12|6|21|9|18|7,-25.875120162963867,-25.002073287963867,-25.875120162963867,-25.002073287963867
Martyetal_2022,Exp_6,29,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a grey ball or it contains a blue ball.,D-C-D,a green ball,a yellow ball,a green ball,grey,blue,yellow,green,Bad,Good,23|20|18|10|1|2|14|3|16|24|19|4|7|8|6|21|9|22|5|11|17|12|15|13,-26.219356536865234,-24.213008880615234,-26.219356536865234,-24.213008880615234
Martyetal_2022,Exp_6,30,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a blue ball.,A-A-A,a green ball,a green ball,a green ball,green,blue,yellow,grey,Bad,Good,22|6|7|12|21|4|8|9|15|10|2|3|11|24|17|1|18|20|5|14|13|19|23|16,-26.042150497436523,-24.847814559936523,-26.042150497436523,-24.847814559936523
Martyetal_2022,Exp_6,31,Test,Low,Negative,DIST,Bad,Sam,It is certain that either the mystery box does not contain a blue ball or it does not contain a yellow ball.,A-AB-B,a blue ball,a blue ball and a yellow ball,a yellow ball,blue,yellow,green,grey,Bad,Good,17|15|7|1|9|19|24|23|6|2|16|11|10|21|12|14|13|3|5|18|20|22|4|8,-25.869230270385742,-24.207120895385742,-25.869230270385742,-24.207120895385742
Martyetal_2022,Exp_6,32,Test,Low,Negative,DIST,Good,Mia,It is certain that either the mystery box does not contain a green ball or it does not contain a blue ball.,A-B-A,a green ball,a blue ball,a green ball,green,blue,yellow,grey,Bad,Good,16|10|1|17|12|4|22|19|20|14|21|3|18|15|2|24|9|8|13|5|23|7|11|6,-26.618738174438477,-24.445398330688477,-26.618738174438477,-24.445398330688477
Martyetal_2022,Exp_6,33,Test,Low,Positive,FC,Bad,Sam,It is possible that either the mystery box contains a blue ball or it contains a yellow ball.,D-C-D,a grey ball,a green ball,a grey ball,blue,yellow,green,grey,Bad,Good,19|15|9|13|3|8|14|7|5|16|18|4|23|21|20|12|2|24|22|10|1|11|17|6,-26.329191207885742,-24.630949020385742,-26.329191207885742,-24.630949020385742
Martyetal_2022,Exp_6,34,Test,Low,Negative,II,Good,Mia,Either the mystery box does not contain a grey ball or it does not contain a green ball.,A-B-A,a grey ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,6|13|19|8|4|15|11|24|1|21|20|9|16|14|18|17|2|23|7|5|22|3|12|10,-26.587976455688477,-25.107507705688477,-26.587976455688477,-25.107507705688477
Martyetal_2022,Exp_6,35,Test,Low,Positive,DIST,Target,Mia,It is certain that either the mystery box contains a yellow ball or it contains a blue ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,blue,green,grey,Bad,Good,13|22|10|6|18|2|21|9|12|1|17|4|16|5|15|19|3|14|11|7|20|23|8|24,-25.9688777923584,-24.0059871673584,-25.9688777923584,-24.0059871673584
Martyetal_2022,Exp_6,36,Test,Low,Negative,DIST,Target,Sam,It is certain that either the mystery box does not contain a yellow ball or it does not contain a green ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,green,blue,grey,Bad,Good,7|11|14|3|8|16|6|4|13|12|22|2|10|17|1|5|23|9|19|24|20|18|21|15,-26.88092803955078,-25.46295928955078,-26.88092803955078,-25.46295928955078
Martyetal_2022,Exp_6,37,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a blue ball or it contains a green ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,green,grey,yellow,Bad,Good,13|20|17|12|16|22|6|7|10|2|15|3|24|11|19|4|9|23|5|8|21|18|14|1,-25.7852783203125,-24.8868408203125,-25.7852783203125,-24.8868408203125
Martyetal_2022,Exp_6,38,Test,Low,Positive,SI,Bad,Sam,It is possible that the mystery box contains a yellow ball.,D-D-D,a blue ball,a blue ball,a blue ball,yellow,green,grey,blue,Bad,Good,13|21|5|14|3|15|4|18|11|2|9|19|6|23|17|10|16|24|20|8|12|1|7|22,-26.087051391601562,-24.339981079101562,-26.087051391601562,-24.339981079101562
Martyetal_2022,Exp_6,39,Test,Low,Negative,II,Bad,Mia,Either the mystery box does not contain a green ball or it does not contain a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,24|6|17|9|10|14|22|16|23|15|1|8|5|20|7|19|18|3|2|4|11|13|12|21,-26.621219635009766,-25.230594635009766,-26.621219635009766,-25.230594635009766
Martyetal_2022,Exp_6,40,Test,Low,Positive,SI,Bad,Sam,It is possible that the mystery box contains a blue ball.,D-D-D,a green ball,a green ball,a green ball,blue,grey,yellow,green,Bad,Good,19|7|2|22|4|20|5|1|10|23|16|18|3|9|21|11|12|17|8|13|14|15|6|24,-26.661724090576172,-24.328227996826172,-26.661724090576172,-24.328227996826172
Martyetal_2022,Exp_6,41,Test,Low,Positive,DIST,Target,Mia,It is certain that either the mystery box contains a blue ball or it contains a green ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,green,grey,yellow,Bad,Good,9|11|20|15|16|3|14|22|12|18|1|6|24|7|23|5|4|19|2|21|13|10|8|17,-26.682703018188477,-25.423913955688477,-26.682703018188477,-25.423913955688477
Martyetal_2022,Exp_6,42,Test,Low,Positive,II,Target,Mia,Either the mystery box contains a green ball or it contains a yellow ball.,A-A-A,a green ball,a green ball,a green ball,green,yellow,grey,blue,Bad,Good,24|2|19|7|1|21|13|6|10|9|18|17|14|3|8|16|22|12|23|20|15|4|5|11,-26.16661834716797,-24.46691131591797,-26.16661834716797,-24.46691131591797
Martyetal_2022,Exp_6,43,Test,Low,Positive,II,Good,Mia,Either the mystery box contains a green ball or it contains a grey ball.,A-B-A,a green ball,a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,15|2|11|18|9|19|21|14|3|6|5|17|13|16|20|4|24|10|7|23|8|1|12|22,-26.056303024291992,-24.945463180541992,-26.056303024291992,-24.945463180541992
Martyetal_2022,Exp_6,44,Test,Low,Negative,FC,Target,Sam,It is possible that either the mystery box does not contain a yellow ball or it does not contain a blue ball.,A-AB-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,10|21|7|12|22|5|18|3|19|24|23|13|11|15|6|9|14|16|20|1|2|4|8|17,-26.51180648803711,-24.90047836303711,-26.51180648803711,-24.90047836303711
