Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_2,Deontic,9,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a yellow ball or a green ball.,A-CD-C,a grey ball and a blue ball,a grey ball,a yellow ball,yellow,green,grey,blue,Bad,Good,57|8|61|58|7|64|60|63|6|59|2|4|1|5|3|62,-17.83618927001953,-15.983649253845215,-17.83618927001953,-15.983649253845215
Martyetal_2023,Exp_2,Deontic,10,Test,Block_A,Nominal,Control_4,Bad,Sam,No box contains a green ball or a grey ball.,A-CD-A,a green ball,a yellow ball and a blue ball,a green ball,green,grey,yellow,blue,Bad,Good,61|3|6|2|60|57|63|1|64|7|5|59|62|8|4|58,-17.736248016357422,-16.331462860107422,-17.736248016357422,-16.331462860107422
Martyetal_2023,Exp_2,Deontic,11,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a yellow ball or a grey ball.,A-AB-B,a yellow ball,a yellow ball and a grey ball,a grey ball,yellow,grey,green,blue,Bad,Good,8|4|5|60|3|58|59|6|57|62|7|64|61|2|63|1,-18.21723175048828,-16.95453643798828,-18.21723175048828,-16.95453643798828
Martyetal_2023,Exp_2,Deontic,12,Test,Block_A,Nominal,Test,Good,Mia,Every box contains a green ball or a grey ball.,A-AB-B,a green ball,a green ball and a grey ball,a grey ball,green,grey,yellow,blue,Bad,Good,58|61|59|64|8|1|4|62|5|63|6|7|60|57|3|2,-18.562606811523438,-16.789169311523438,-18.562606811523438,-16.789169311523438
Martyetal_2023,Exp_2,Deontic,13,Test,Block_A,Nominal,Test,Target_2,Sam,Every box contains a grey ball or a green ball.,A-AC-AC,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball,grey,green,yellow,blue,Bad,Good,5|61|6|2|8|58|59|3|63|64|62|57|60|7|1|4,-18.0382080078125,-16.2471923828125,-18.0382080078125,-16.2471923828125
Martyetal_2023,Exp_2,Deontic,14,Test,Block_A,Nominal,Test,Bad,Sam,Every box contains a green ball or a blue ball.,A-CD-C,a grey ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good,63|5|8|64|2|61|60|3|6|59|4|62|57|7|58|1,-17.94559669494629,-16.43290138244629,-17.94559669494629,-16.43290138244629
Martyetal_2023,Exp_2,Deontic,15,Test,Block_A,Nominal,Control_2,Good,Mia,Every box contains a grey ball and a yellow ball.,AB-AB-AB,a grey ball and a yellow ball,a grey ball and a yellow ball,a grey ball and a yellow ball,grey,yellow,blue,green,Bad,Good,4|60|64|3|1|63|2|5|61|8|57|6|62|59|7|58,-18.920944213867188,-17.979049682617188,-18.920944213867188,-17.979049682617188
Martyetal_2023,Exp_2,Deontic,16,Test,Block_A,Nominal,Control_4,Good,Mia,No box contains a blue ball or a yellow ball.,C-CD-C,a green ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,59|1|62|6|63|7|5|61|60|4|58|2|8|3|64|57,-18.285274505615234,-17.467891693115234,-18.285274505615234,-17.467891693115234
Martyetal_2023,Exp_2,Deontic,17,Test,Block_A,Nominal,Control_2,Bad,Mia,Every box contains a grey ball and a green ball.,AB-CD-C,a grey ball and a green ball,a blue ball,a blue ball and a yellow ball,grey,green,blue,yellow,Bad,Good,59|60|58|4|1|6|2|61|3|7|64|57|8|5|62|63,-18.624608993530273,-17.109472274780273,-18.624608993530273,-17.109472274780273
Martyetal_2023,Exp_2,Deontic,18,Test,Block_A,Nominal,Control_3,Bad,Mia,No box contains a grey ball.,A-CD-A,a yellow ball and a blue ball,a grey ball,a grey ball,grey,green,yellow,blue,Bad,Good,5|58|3|4|7|59|64|6|63|2|61|1|57|60|8|62,-18.66640853881836,-17.16933822631836,-18.66640853881836,-17.16933822631836
