Study,Experiment,Item_nr,Item_status,Negation,Polarity,Inference_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2022,Exp_5,25,Test,Intermediate,Negative,SI,Bad,Mia,It is possible that the mystery box does not contain a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,11|7|8|17|15|12|24|3|22|10|16|23|14|13|4|20|9|1|19|18|5|2|21|6,-18.955663681030273,-16.557226181030273,-18.955663681030273,-16.557226181030273
Martyetal_2022,Exp_5,26,Test,Intermediate,Positive,DIST,Bad,Mia,It is certain that the mystery box contains either a blue ball or a grey ball.,A-C-B,a blue ball,a green ball,a grey ball,blue,grey,green,yellow,Bad,Good,9|7|6|14|5|16|11|8|21|15|13|24|4|10|23|19|22|2|17|12|3|20|1|18,-18.682662963867188,-18.176803588867188,-18.682662963867188,-18.176803588867188
Martyetal_2022,Exp_5,27,Test,Intermediate,Positive,II,Good,Mia,The mystery box contains either a yellow ball or a blue ball.,A-B-A,a yellow ball,a blue ball,a yellow ball,yellow,blue,green,grey,Bad,Good,12|17|16|22|9|20|21|6|14|5|8|15|18|13|4|19|7|1|11|2|24|3|10|23,-18.809959411621094,-18.105857849121094,-18.809959411621094,-18.105857849121094
Martyetal_2022,Exp_5,28,Test,Intermediate,Positive,FC,Target,Sam,It is possible that the mystery box contains either a grey ball or a blue ball.,A-C-A,a grey ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,21|20|12|18|16|8|4|1|5|24|3|15|13|19|2|11|14|23|7|6|9|22|17|10,-17.969547271728516,-16.982242584228516,-17.969547271728516,-16.982242584228516
Martyetal_2022,Exp_5,29,Test,Intermediate,Negative,FC,Bad,Mia,It is possible that the mystery box does not contain both a green ball and a yellow ball.,AB-AB-AB,a green ball and a yellow ball,a green ball and a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,3|24|4|18|10|1|17|23|15|13|2|21|6|8|9|14|12|7|11|16|5|22|19|20,-18.589540481567383,-17.903993606567383,-18.589540481567383,-17.903993606567383
Martyetal_2022,Exp_5,30,Test,Intermediate,Negative,SI,Good,Mia,It is possible that the mystery box does not contain a grey ball.,A-D-A,a grey ball,a blue ball,a grey ball,grey,green,yellow,blue,Bad,Good,6|24|20|7|17|18|11|8|2|19|21|22|14|3|10|1|13|5|9|23|15|4|16|12,-18.70326042175293,-17.11732292175293,-18.70326042175293,-17.11732292175293
Martyetal_2022,Exp_5,31,Test,Intermediate,Negative,SI,Target,Sam,It is possible that the mystery box does not contain a yellow ball.,D-D-D,a green ball,a green ball,a green ball,yellow,blue,grey,green,Bad,Good,2|11|19|17|15|10|18|14|22|7|23|24|9|8|12|5|6|1|13|16|20|21|3|4,-18.172489166259766,-16.398075103759766,-18.172489166259766,-16.398075103759766
Martyetal_2022,Exp_5,32,Test,Intermediate,Negative,FC,Good,Sam,It is possible that the mystery box does not contain both a grey ball and a yellow ball.,A-AB-B,a grey ball,a grey ball and a yellow ball,a yellow ball,grey,yellow,blue,green,Bad,Good,7|12|16|13|23|3|20|8|24|17|19|22|11|5|1|14|6|2|18|21|15|9|4|10,-18.422470092773438,-16.686141967773438,-18.422470092773438,-16.686141967773438
Martyetal_2022,Exp_5,33,Test,Intermediate,Positive,SI,Good,Mia,It is possible that the mystery box contains a blue ball.,A-D-C,a blue ball,a yellow ball,a grey ball,blue,green,grey,yellow,Bad,Good,11|13|3|15|9|1|19|14|23|24|5|21|2|20|17|12|8|7|16|4|18|10|22|6,-18.89507484436035,-17.12261390686035,-18.89507484436035,-17.12261390686035
Martyetal_2022,Exp_5,34,Test,Intermediate,Positive,SI,Target,Mia,It is possible that the mystery box contains a green ball.,A-A-A,a green ball,a green ball,a green ball,green,grey,blue,yellow,Bad,Good,8|24|14|20|16|15|2|11|7|17|21|6|10|1|23|18|12|9|22|5|13|4|19|3,-18.71248435974121,-17.09920310974121,-18.71248435974121,-17.09920310974121
Martyetal_2022,Exp_5,35,Test,Intermediate,Positive,DIST,Target,Sam,It is certain that the mystery box contains either a grey ball or a yellow ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,yellow,green,blue,Bad,Good,2|18|1|12|3|6|17|7|16|11|23|19|14|22|4|5|8|20|24|9|10|21|13|15,-18.41250228881836,-18.29140853881836,-18.41250228881836,-18.29140853881836
Martyetal_2022,Exp_5,36,Test,Intermediate,Positive,II,Bad,Sam,The mystery box contains either a grey ball or a green ball.,D-C-D,a yellow ball,a blue ball,a yellow ball,grey,green,blue,yellow,Bad,Good,16|17|13|1|15|24|23|14|8|10|11|3|12|18|21|20|7|5|22|4|2|19|9|6,-18.476343154907227,-17.317163467407227,-18.476343154907227,-17.317163467407227
Martyetal_2022,Exp_5,37,Test,Intermediate,Negative,II,Bad,Mia,The mystery box does not contain both a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,4|16|12|23|21|5|20|13|2|14|22|11|6|7|1|3|10|9|19|24|17|8|15|18,-17.93914794921875,-17.48895263671875,-17.93914794921875,-17.48895263671875
Martyetal_2022,Exp_5,38,Test,Intermediate,Positive,SI,Bad,Sam,It is possible that the mystery box contains a green ball.,D-D-D,a yellow ball,a yellow ball,a yellow ball,green,blue,grey,yellow,Bad,Good,6|11|12|17|15|10|18|13|8|23|2|7|5|19|20|14|16|1|21|9|4|3|22|24,-17.64207649230957,-16.61375617980957,-17.64207649230957,-16.61375617980957
