Study,Experiment,Item_nr,Item_status,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Deganoetal_2024,Exp_2,9,Test,Control_2,Bad,Mia,`The mystery box does not contain a grey ball.',A-CD-A,a grey ball,a grey ball,a blue ball and a green ball,grey,yellow,blue,green,Bad,Good,6|8|3|7|2|5|4|1,-4.160498142242432,-3.6292481422424316,-4.160498142242432,-3.6292481422424316
Deganoetal_2024,Exp_2,10,Test,Control_3,Good,Sam,`The mystery box contains a yellow ball and a blue ball.',AB-AB-AB,a yellow ball and a blue ball,a yellow ball and a blue ball,a yellow ball and a blue ball,yellow,blue,grey,green,Bad,Good,3|5|1|6|2|4|7|8,-3.9703850746154785,-3.4781975746154785,-3.9703850746154785,-3.4781975746154785
Deganoetal_2024,Exp_2,11,Test,Control_4,Good,Sam,`The mystery box does not contain a grey ball or a blue ball.',C-CD-C,a green ball,a green ball and a yellow ball,a green ball,grey,blue,green,yellow,Bad,Good,5|2|8|1|4|6|7|3,-4.605478286743164,-3.566415786743164,-4.605478286743164,-3.566415786743164
Deganoetal_2024,Exp_2,12,Test,Test,Good,Mia,`The mystery box contains a green ball or a blue ball.',A-AA-B,a green ball and a green ball,a blue ball,a green ball,green,blue,grey,yellow,Bad,Good,4|7|2|8|3|6|5|1,-4.119616508483887,-3.1274290084838867,-4.119616508483887,-3.1274290084838867
Deganoetal_2024,Exp_2,13,Test,Control_1,Good,Sam,`The mystery box contains a green ball.',A-A-A,a green ball,a green ball,a green ball,green,grey,yellow,blue,Bad,Good,2|3|5|6|4|1|8|7,-4.304686546325684,-3.8671865463256836,-4.304686546325684,-3.8671865463256836
Deganoetal_2024,Exp_2,14,Test,Control_4,Good,Mia,`The mystery box does not contain a green ball or a blue ball.',C-CD-C,a grey ball,a grey ball,a grey ball and a yellow ball,green,blue,grey,yellow,Bad,Good,6|5|3|8|7|1|4|2,-4.373506546020508,-3.6313188076019287,-4.373506546020508,-3.6313188076019287
Deganoetal_2024,Exp_2,15,Test,Test,Good,Mia,`The mystery box contains a blue ball or a green ball.',A-AA-B,a green ball,a blue ball,a blue ball and a blue ball,blue,green,yellow,grey,Bad,Good,5|1|2|8|7|6|4|3,-4.459894180297852,-3.4989566802978516,-4.459894180297852,-3.4989566802978516
Deganoetal_2024,Exp_2,16,Test,Test,Bad,Sam,`The mystery box contains a green ball or a grey ball.',A-CD-B,a green ball,a yellow ball and a blue ball,a grey ball,green,grey,yellow,blue,Bad,Good,7|3|1|6|2|8|5|4,-4.041296482086182,-3.2834839820861816,-4.041296482086182,-3.2834839820861816
Deganoetal_2024,Exp_2,17,Test,Control_1,Bad,Mia,`The mystery box contains a green ball.',A-CD-C,a green ball,a grey ball,a grey ball and a yellow ball,green,blue,grey,yellow,Bad,Good,6|8|7|2|1|3|4|5,-4.086367130279541,-3.312929391860962,-4.086367130279541,-3.312929391860962
Deganoetal_2024,Exp_2,18,Test,Control_4,Bad,Mia,`The mystery box does not contain a grey ball or a green ball.',A-CD-B,a grey ball,a green ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,7|8|4|5|3|6|1|2,-4.260575294494629,-3.409012794494629,-4.260575294494629,-3.409012794494629
Deganoetal_2024,Exp_2,19,Test,Control_2,Good,Sam,`The mystery box does not contain a green ball.',C-CD-C,a blue ball,a blue ball and a yellow ball,a blue ball,green,grey,blue,yellow,Bad,Good,2|8|5|1|7|3|4|6,-4.751311779022217,-3.8216240406036377,-4.751311779022217,-3.8216240406036377
Deganoetal_2024,Exp_2,20,Test,Test,Target_2,Sam,`The mystery box contains a green ball or a grey ball.',A-AA-AA,a green ball and a green ball,a green ball,a green ball and a green ball,green,grey,yellow,blue,Bad,Good,5|2|1|3|6|8|7|4,-4.72554349899292,-3.889605760574341,-4.72554349899292,-3.889605760574341
Deganoetal_2024,Exp_2,21,Test,Test,Bad,Mia,`The mystery box contains a grey ball or a green ball.',A-CD-B,a green ball,a blue ball and a yellow ball,a grey ball,grey,green,blue,yellow,Bad,Good,5|2|1|6|8|3|4|7,-4.739173412322998,-3.450110912322998,-4.739173412322998,-3.450110912322998
Deganoetal_2024,Exp_2,22,Test,Test,Good,Mia,`The mystery box contains a grey ball or a yellow ball.',A-AA-B,a yellow ball,a grey ball,a grey ball and a grey ball,grey,yellow,blue,green,Bad,Good,8|2|7|3|5|1|4|6,-4.516726493835449,-3.540163993835449,-4.516726493835449,-3.540163993835449
Deganoetal_2024,Exp_2,23,Test,Control_3,Good,Sam,`The mystery box contains a blue ball and a yellow ball.',AB-AB-AB,a blue ball and a yellow ball,a blue ball and a yellow ball,a blue ball and a yellow ball,blue,yellow,green,grey,Bad,Good,7|5|2|1|8|4|3|6,-3.739393472671509,-3.426893472671509,-3.739393472671509,-3.426893472671509
Deganoetal_2024,Exp_2,24,Test,Test,Target_2,Sam,`The mystery box contains a green ball or a grey ball.',A-AA-A,a green ball,a green ball and a green ball,a green ball,green,grey,blue,yellow,Bad,Good,6|5|2|8|4|7|3|1,-4.383350372314453,-3.453662872314453,-4.383350372314453,-3.453662872314453
Deganoetal_2024,Exp_2,25,Test,Control_1,Good,Sam,`The mystery box contains a blue ball.',A-A-A,a blue ball,a blue ball,a blue ball,blue,green,yellow,grey,Bad,Good,4|6|5|2|3|8|7|1,-4.093031883239746,-3.803969383239746,-4.093031883239746,-3.803969383239746
Deganoetal_2024,Exp_2,26,Test,Control_3,Bad,Mia,`The mystery box contains a blue ball and a grey ball.',AB-CD-C,a blue ball and a grey ball,a yellow ball,a yellow and a green ball,blue,grey,yellow,green,Bad,Good,5|4|2|1|8|3|6|7,-3.7943334579467773,-3.5365209579467773,-3.7943334579467773,-3.5365209579467773
Deganoetal_2024,Exp_2,27,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a yellow ball.',A-AB-AB,a blue ball and a yellow ball,a blue ball and a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good,2|1|7|6|5|3|4|8,-4.183653831481934,-3.4024038314819336,-4.183653831481934,-3.4024038314819336
Deganoetal_2024,Exp_2,28,Test,Test,Target_2,Sam,`The mystery box contains a yellow ball or a green ball.',A-AA-A,a yellow ball,a yellow and a yellow ball,a yellow ball,yellow,green,grey,blue,Bad,Good,2|7|1|5|3|8|4|6,-4.462460517883301,-3.314023017883301,-4.462460517883301,-3.314023017883301
Deganoetal_2024,Exp_2,29,Test,Test,Good-Excl,Sam,`The mystery box contains a green ball or a yellow ball.',A-AB-B,a green ball and a yellow ball,a yellow ball,a green ball,green,yellow,blue,grey,Bad,Good,6|5|1|3|7|8|4|2,-4.3858723640441895,-3.5577471256256104,-4.3858723640441895,-3.5577471256256104
Deganoetal_2024,Exp_2,30,Test,Test,Target_1,Mia,`The mystery box contains a blue ball or a grey ball.',A-AB-A,a blue ball and a grey ball,a blue ball,a blue ball,blue,grey,green,yellow,Bad,Good,1|6|7|2|8|3|5|4,-4.126479148864746,-3.462416648864746,-4.126479148864746,-3.462416648864746
Deganoetal_2024,Exp_2,31,Test,Control_2,Bad,Mia,`The mystery box does not contain a green ball.',A-CD-A,a green ball,a grey ball and a yellow ball,a green ball,green,blue,grey,yellow,Bad,Good,6|5|7|4|3|1|8|2,-4.735110759735107,-3.4772982597351074,-4.735110759735107,-3.4772982597351074
Deganoetal_2024,Exp_2,32,Test,Test,Good-Excl,Sam,`The mystery box contains a blue ball or a green ball.',A-AB-B,a blue ball and a green ball,a blue ball,a green ball,blue,green,grey,yellow,Bad,Good,1|2|8|5|3|4|7|6,-4.366569519042969,-3.3353195190429688,-4.366569519042969,-3.3353195190429688
Deganoetal_2024,Exp_2,33,Test,Control_2,Good,Sam,`The mystery box does not contain a yellow ball.',C-CD-C,a grey ball,a grey ball,a grey ball and a green ball,yellow,blue,grey,green,Bad,Good,8|5|1|4|6|7|3|2,-4.323739528656006,-3.550302028656006,-4.323739528656006,-3.550302028656006
Deganoetal_2024,Exp_2,34,Test,Control_1,Bad,Mia,`The mystery box contains a blue ball.',A-CD-C,a blue ball,a green ball and a grey ball,a green ball,blue,yellow,green,grey,Bad,Good,7|1|4|8|3|5|6|2,-3.693567991256714,-3.162317991256714,-3.693567991256714,-3.162317991256714
Deganoetal_2024,Exp_2,35,Test,Control_1,Good,Sam,`The mystery box contains a grey ball.',A-A-A,a grey ball,a grey ball,a grey ball,grey,yellow,blue,green,Bad,Good,8|3|6|7|1|4|5|2,-4.110865592956543,-3.431178092956543,-4.110865592956543,-3.431178092956543
Deganoetal_2024,Exp_2,36,Test,Test,Bad,Sam,`The mystery box contains a yellow ball or a green ball.',A-CD-B,a blue ball and a grey ball,a yellow ball,a green ball,yellow,green,blue,grey,Bad,Good,6|4|1|8|5|2|3|7,-4.1758952140808105,-3.4024577140808105,-4.1758952140808105,-3.4024577140808105
Deganoetal_2024,Exp_2,37,Test,Control_3,Bad,Sam,`The mystery box contains a grey ball and a green ball.',AB-CD-C,a blue ball,a grey ball and a green ball,a blue ball and a yellow ball,grey,green,blue,yellow,Bad,Good,4|5|2|3|1|7|6|8,-3.8901751041412354,-3.2886126041412354,-3.8901751041412354,-3.2886126041412354
Deganoetal_2024,Exp_2,38,Test,Control_4,Bad,Sam,`The mystery box does not contain a yellow ball or a blue ball.',A-CD-B,a blue ball,a green ball and a grey ball,a yellow ball,yellow,blue,green,grey,Bad,Good,3|2|7|4|1|8|6|5,-3.8797147274017334,-3.2469022274017334,-3.8797147274017334,-3.2469022274017334
Deganoetal_2024,Exp_2,39,Test,Test,Bad,Sam,`The mystery box contains a blue ball or a yellow ball.',A-CD-B,a green ball and a grey ball,a yellow ball,a blue ball,blue,yellow,green,grey,Bad,Good,5|2|7|3|4|1|8|6,-4.203616619110107,-3.5942416191101074,-4.203616619110107,-3.5942416191101074
Deganoetal_2024,Exp_2,40,Test,Test,Target_2,Mia,`The mystery box contains a yellow ball or a blue ball.',A-AA-AA,a yellow ball,a yellow and a yellow ball,a yellow and a yellow ball,yellow,blue,green,grey,Bad,Good,2|1|7|8|3|4|5|6,-4.158946990966797,-3.4167592525482178,-4.158946990966797,-3.4167592525482178
Deganoetal_2024,Exp_2,41,Test,Test,Target_1,Sam,`The mystery box contains a grey ball or a blue ball.',A-AB-A,a grey ball,a grey ball and a blue ball,a grey ball,grey,blue,green,yellow,Bad,Good,1|3|7|4|8|5|2|6,-4.001446723937988,-3.4233217239379883,-4.001446723937988,-3.4233217239379883
Deganoetal_2024,Exp_2,42,Test,Test,Bad,Mia,`The mystery box contains a green ball or a blue ball.',A-CD-B,a green ball,a yellow ball and a grey ball,a blue ball,green,blue,yellow,grey,Bad,Good,6|3|1|5|2|8|7|4,-4.19103479385376,-3.5113470554351807,-4.19103479385376,-3.5113470554351807
Deganoetal_2024,Exp_2,43,Test,Test,Target_1,Sam,`The mystery box contains a yellow ball or a grey ball.',A-AB-AB,a yellow ball and a grey ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,4|6|8|2|7|1|5|3,-4.514704704284668,-4.045954704284668,-4.514704704284668,-4.045954704284668
Deganoetal_2024,Exp_2,44,Test,Control_3,Bad,Mia,`The mystery box contains a green ball and a yellow ball.',AB-CD-C,a green ball and a yellow ball,a grey ball,a grey ball and a blue ball,green,yellow,grey,blue,Bad,Good,7|1|8|3|6|5|4|2,-4.215850353240967,-3.512725353240967,-4.215850353240967,-3.512725353240967
Deganoetal_2024,Exp_2,45,Test,Test,Target_2,Sam,`The mystery box contains a grey ball or a blue ball.',A-AA-AA,a grey ball and a grey ball,a grey ball,a grey ball and a grey ball,grey,blue,yellow,green,Bad,Good,5|3|2|6|7|8|4|1,-4.470964431762695,-3.6662769317626953,-4.470964431762695,-3.6662769317626953
Deganoetal_2024,Exp_2,46,Test,Control_3,Good,Sam,`The mystery box contains a blue ball and a green ball.',AB-AB-AB,a blue ball and a green ball,a blue ball and a green ball,a blue ball and a green ball,blue,green,grey,yellow,Bad,Good,4|6|7|5|2|8|1|3,-3.4811527729034424,-3.4186527729034424,-3.4811527729034424,-3.4186527729034424
Deganoetal_2024,Exp_2,47,Test,Control_2,Good,Sam,`The mystery box does not contain a grey ball.',C-CD-C,a yellow ball and a blue ball,a yellow ball,a yellow ball,grey,green,yellow,blue,Bad,Good,5|7|1|4|8|2|6|3,-4.085061550140381,-3.7959988117218018,-4.085061550140381,-3.7959988117218018
Deganoetal_2024,Exp_2,48,Test,Control_4,Good,Mia,`The mystery box does not contain a grey ball or a blue ball.',C-CD-C,a yellow and a green ball,a yellow ball,a yellow ball,grey,blue,yellow,green,Bad,Good,8|1|6|3|2|4|5|7,-4.458171844482422,-3.614422082901001,-4.458171844482422,-3.614422082901001
Deganoetal_2024,Exp_2,49,Test,Test,Target_1,Sam,`The mystery box contains a yellow ball or a blue ball.',A-AB-A,a yellow ball,a yellow ball,a yellow ball and a blue ball,yellow,blue,grey,green,Bad,Good,6|7|4|3|1|2|5|8,-4.137733459472656,-3.2080461978912354,-4.137733459472656,-3.2080461978912354
Deganoetal_2024,Exp_2,50,Test,Test,Target_2,Sam,`The mystery box contains a blue ball or a yellow ball.',A-AA-A,a blue ball,a blue ball and a blue ball,a blue ball,blue,yellow,grey,green,Bad,Good,4|6|1|5|3|2|7|8,-4.610959529876709,-3.876584768295288,-4.610959529876709,-3.876584768295288
Deganoetal_2024,Exp_2,51,Test,Control_4,Bad,Sam,`The mystery box does not contain a blue ball or a yellow ball.',A-CD-B,a green ball and a grey ball,a blue ball,a yellow ball,blue,yellow,green,grey,Bad,Good,7|4|1|5|8|6|2|3,-3.7531838417053223,-3.4484963417053223,-3.7531838417053223,-3.4484963417053223
Deganoetal_2024,Exp_2,52,Test,Test,Good-Excl,Sam,`The mystery box contains a blue ball or a green ball.',A-AB-B,a blue ball and a green ball,a green ball,a blue ball,blue,green,grey,yellow,Bad,Good,6|4|2|7|1|8|3|5,-3.8964076042175293,-3.1385951042175293,-3.8964076042175293,-3.1385951042175293
Deganoetal_2024,Exp_2,53,Test,Test,Target_1,Mia,`The mystery box contains a grey ball or a green ball.',A-AB-AB,a grey ball and a green ball,a grey ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,6|1|7|8|5|2|3|4,-4.005999565124512,-3.357562303543091,-4.005999565124512,-3.357562303543091
Deganoetal_2024,Exp_2,54,Test,Test,Bad,Sam,`The mystery box contains a grey ball or a green ball.',A-CD-B,a yellow ball and a blue ball,a green ball,a grey ball,grey,green,yellow,blue,Bad,Good,8|1|6|3|7|4|2|5,-4.431676864624023,-3.2754268646240234,-4.431676864624023,-3.2754268646240234
Deganoetal_2024,Exp_2,55,Test,Control_1,Bad,Mia,`The mystery box contains a grey ball.',A-CD-C,a green ball and a yellow ball,a grey ball,a green ball,grey,blue,green,yellow,Bad,Good,3|2|6|7|1|8|4|5,-4.357563018798828,-3.6310007572174072,-4.357563018798828,-3.6310007572174072
Deganoetal_2024,Exp_2,56,Test,Control_2,Bad,Mia,`The mystery box does not contain a grey ball.',A-CD-A,a grey ball,a grey ball,a yellow and a green ball,grey,blue,yellow,green,Bad,Good,5|7|6|3|8|2|4|1,-4.457655906677246,-3.645155906677246,-4.457655906677246,-3.645155906677246
