Study,Experiment,Modal_flavor,Item_nr,Item_status,Block,Quantifier_type,Sentence_type,Condition,Character,Sentence,Box_schema,Content_Box1,Content_Box2,Content_Box3,Color_Ball_A,Color_Ball_B,Color_Ball_C,Color_Ball_D,Answer_option1,Answer_option2,Few_shot_items_order,Mean_logprob_answer_good,Mean_logprob_answer_bad,Sentence_logprob_answer_good,Sentence_logprob_answer_bad
Martyetal_2023,Exp_1,Epistemic,9,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a yellow ball.,A-A-A,a yellow ball,a yellow ball,a yellow ball,yellow,grey,blue,green,Bad,Good,6|60|7|58|59|63|64|57|61|5|3|1|2|8|62|4,-28.373538970947266,-27.346683502197266,-28.373538970947266,-27.346683502197266
Martyetal_2023,Exp_1,Epistemic,10,Test,Block_A,Nominal,Test,Target_1,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-AB,a yellow and a green ball,a yellow ball,a yellow and a green ball,yellow,green,grey,blue,Bad,Good,62|8|63|61|2|60|5|4|64|7|6|58|59|1|57|3,-29.983890533447266,-28.634769439697266,-29.983890533447266,-28.634769439697266
Martyetal_2023,Exp_1,Epistemic,11,Test,Block_A,Nominal,Control_1,Bad,Mia,Every visible box contains a grey ball.,A-CD-C,a green ball and a yellow ball,a green ball,a grey ball,grey,blue,green,yellow,Bad,Good,59|7|62|2|63|8|57|6|5|1|3|60|58|64|4|61,-28.4668025970459,-27.4111385345459,-28.4668025970459,-27.4111385345459
Martyetal_2023,Exp_1,Epistemic,12,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a grey ball and a green ball.,AB-AB-AB,a grey ball and a green ball,a grey ball and a green ball,a grey ball and a green ball,grey,green,yellow,blue,Bad,Good,5|64|57|6|61|4|2|8|63|1|59|62|3|7|58|60,-29.2757625579834,-27.3750057220459,-29.2757625579834,-27.3750057220459
Martyetal_2023,Exp_1,Epistemic,13,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a yellow ball.,A-CD-A,a yellow ball,a yellow ball,a grey ball and a blue ball,yellow,green,grey,blue,Bad,Good,63|8|6|4|62|1|58|60|2|5|59|7|61|3|57|64,-28.5996150970459,-27.7724666595459,-28.5996150970459,-27.7724666595459
Martyetal_2023,Exp_1,Epistemic,14,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a yellow ball or a grey ball.,A-AB-A,a yellow ball,a yellow ball and a grey ball,a yellow ball,yellow,grey,blue,green,Bad,Good,63|7|64|62|61|58|8|4|1|60|6|59|5|57|2|3,-29.21820640563965,-27.5341854095459,-29.21820640563965,-27.5341854095459
Martyetal_2023,Exp_1,Epistemic,15,Test,Block_A,Nominal,Test,Good,Sam,Every visible box contains a green ball or a grey ball.,A-AB-B,a grey ball,a green ball and a grey ball,a green ball,green,grey,blue,yellow,Bad,Good,58|63|62|2|6|61|4|5|57|59|1|3|7|8|60|64,-28.806156158447266,-27.768558502197266,-28.806156158447266,-27.768558502197266
Martyetal_2023,Exp_1,Epistemic,16,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a grey ball,a grey ball and a blue ball,a grey ball,green,yellow,grey,blue,Bad,Good,64|59|62|60|8|5|63|4|6|57|61|58|3|7|1|2,-28.812992095947266,-27.774417877197266,-28.812992095947266,-27.774417877197266
Martyetal_2023,Exp_1,Epistemic,17,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a grey ball,green,yellow,blue,grey,Bad,Good,8|59|64|4|61|2|58|6|3|57|60|63|62|7|1|5,-28.9257869720459,-27.4853572845459,-28.9257869720459,-27.4853572845459
Martyetal_2023,Exp_1,Epistemic,18,Test,Block_A,Nominal,Test,Bad,Sam,Every visible box contains a blue ball or a yellow ball.,A-CD-C,a green ball,a green ball and a grey ball,a blue ball,blue,yellow,green,grey,Bad,Good,64|4|57|3|1|60|6|2|59|8|63|61|58|62|5|7,-29.549076080322266,-28.563968658447266,-29.549076080322266,-28.563968658447266
Martyetal_2023,Exp_1,Epistemic,19,Test,Block_A,Nominal,Control_1,Good,Mia,Every visible box contains a grey ball.,A-A-A,a grey ball,a grey ball,a grey ball,grey,blue,yellow,green,Bad,Good,2|59|1|8|61|57|58|64|4|63|3|62|5|7|6|60,-29.396060943603516,-27.909183502197266,-29.396060943603516,-27.909183502197266
Martyetal_2023,Exp_1,Epistemic,20,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a yellow ball.,A-AB-B,a green ball,a yellow ball,a green ball and a yellow ball,green,yellow,blue,grey,Bad,Good,59|7|60|61|62|6|63|3|57|64|58|2|1|8|5|4,-29.645999908447266,-28.817874908447266,-29.645999908447266,-28.817874908447266
Martyetal_2023,Exp_1,Epistemic,21,Test,Block_A,Nominal,Control_4,Good,Sam,No visible box contains a green ball or a yellow ball.,C-CD-C,a blue ball,a blue ball and a grey ball,a blue ball,green,yellow,blue,grey,Bad,Good,64|1|5|4|7|58|62|3|59|8|60|61|63|57|2|6,-29.7211971282959,-27.9345760345459,-29.7211971282959,-27.9345760345459
Martyetal_2023,Exp_1,Epistemic,22,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a green ball or a yellow ball.,A-AB-A,a green ball,a green ball,a green ball and a yellow ball,green,yellow,grey,blue,Bad,Good,2|58|5|1|7|62|59|57|8|4|64|3|63|60|61|6,-27.849613189697266,-26.763675689697266,-27.849613189697266,-26.763675689697266
Martyetal_2023,Exp_1,Epistemic,23,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a blue ball.,A-CD-A,a grey ball,a green ball and a yellow ball,a grey ball,grey,blue,green,yellow,Bad,Good,64|60|2|1|61|63|7|58|6|59|4|3|57|5|8|62,-29.313236236572266,-28.049808502197266,-29.313236236572266,-28.049808502197266
Martyetal_2023,Exp_1,Epistemic,24,Test,Block_A,Nominal,Control_2,Bad,Mia,Every visible box contains a green ball and a blue ball.,AB-CD-C,a yellow ball,a yellow ball and a grey ball,a green ball and a blue ball,green,blue,yellow,grey,Bad,Good,59|4|57|8|63|61|6|3|1|64|60|62|58|7|5|2,-28.742679595947266,-27.497074127197266,-28.742679595947266,-27.497074127197266
Martyetal_2023,Exp_1,Epistemic,25,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a yellow ball or a green ball.,A-AC-A,a yellow ball,a yellow ball and a blue ball,a yellow ball,yellow,green,blue,grey,Bad,Good,63|8|59|64|60|3|62|7|2|6|4|58|5|57|1|61,-28.9917049407959,-28.0000057220459,-28.9917049407959,-28.0000057220459
Martyetal_2023,Exp_1,Epistemic,26,Test,Block_A,Nominal,Control_3,Bad,Mia,No visible box contains a grey ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,1|62|6|58|60|5|59|63|64|8|61|57|7|2|4|3,-28.10254669189453,-26.63086700439453,-28.10254669189453,-26.63086700439453
Martyetal_2023,Exp_1,Epistemic,27,Test,Block_A,Nominal,Test,Target_1,Sam,Every visible box contains a blue ball or a grey ball.,A-AB-AB,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,grey,green,yellow,Bad,Good,59|64|5|8|62|4|60|57|7|3|63|2|1|58|6|61,-28.9238338470459,-27.0019588470459,-28.9238338470459,-27.0019588470459
Martyetal_2023,Exp_1,Epistemic,28,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a grey ball or a green ball.,A-CD-A,a grey ball,a grey ball,a yellow ball and a blue ball,grey,green,yellow,blue,Bad,Good,6|5|7|2|4|63|58|57|62|8|3|64|60|61|1|59,-29.758792877197266,-28.864261627197266,-29.758792877197266,-28.864261627197266
Martyetal_2023,Exp_1,Epistemic,29,Test,Block_A,Nominal,Test,Bad,Mia,Every visible box contains a green ball or a grey ball.,A-CD-C,a blue ball,a blue ball and a yellow ball,a green ball,green,grey,blue,yellow,Bad,Good,7|5|61|6|60|2|64|8|59|1|4|63|62|57|3|58,-29.2346248626709,-28.0966854095459,-29.2346248626709,-28.0966854095459
Martyetal_2023,Exp_1,Epistemic,30,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a green ball or a blue ball.,A-AC-A,a green ball,a green ball and a yellow ball,a green ball,green,blue,yellow,grey,Bad,Good,7|63|58|61|5|57|1|2|59|6|3|4|8|62|64|60,-29.710941314697266,-28.546878814697266,-29.710941314697266,-28.546878814697266
Martyetal_2023,Exp_1,Epistemic,31,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a blue ball or a grey ball.,A-AB-B,a blue ball and a grey ball,a grey ball,a blue ball,blue,grey,yellow,green,Bad,Good,64|63|2|7|57|8|1|3|62|59|61|5|6|58|4|60,-29.343509674072266,-28.345706939697266,-29.343509674072266,-28.345706939697266
Martyetal_2023,Exp_1,Epistemic,32,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a grey ball or a blue ball.,A-AC-AD,a grey ball and a yellow ball,a grey ball,a grey ball and a green ball,grey,blue,green,yellow,Bad,Good,5|4|64|7|60|2|3|57|59|6|58|62|61|63|1|8,-29.301372528076172,-27.55078887939453,-29.301372528076172,-27.55078887939453
Martyetal_2023,Exp_1,Epistemic,33,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a yellow ball or a green ball.,A-AB-B,a green ball,a yellow and a green ball,a yellow ball,yellow,green,blue,grey,Bad,Good,1|57|3|59|60|62|6|7|64|8|61|58|4|63|2|5,-28.5127010345459,-27.2539119720459,-28.5127010345459,-27.2539119720459
Martyetal_2023,Exp_1,Epistemic,34,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a blue ball or a green ball.,A-AC-AC,a blue ball,a blue ball and a yellow ball,a blue ball and a yellow ball,blue,green,yellow,grey,Bad,Good,6|2|4|58|59|64|3|8|5|62|61|60|1|63|7|57,-29.010684967041016,-27.867191314697266,-29.010684967041016,-27.867191314697266
Martyetal_2023,Exp_1,Epistemic,35,Test,Block_A,Nominal,Test,Bad,Mia,Every visible box contains a grey ball or a blue ball.,A-CD-C,a yellow and a green ball,a grey ball,a yellow ball,grey,blue,yellow,green,Bad,Good,62|4|64|58|3|59|60|57|61|8|5|6|1|63|2|7,-29.0048885345459,-27.8388729095459,-29.0048885345459,-27.8388729095459
Martyetal_2023,Exp_1,Epistemic,36,Test,Block_A,Nominal,Control_3,Good,Sam,No visible box contains a green ball.,C-CD-C,a blue ball,a blue ball,a blue ball and a yellow ball,green,grey,blue,yellow,Bad,Good,60|59|63|61|58|4|5|8|62|7|57|64|2|1|6|3,-28.6284236907959,-27.4785213470459,-28.6284236907959,-27.4785213470459
Martyetal_2023,Exp_1,Epistemic,37,Test,Block_A,Nominal,Test,Good,Mia,Every visible box contains a green ball or a blue ball.,A-AB-B,a green ball,a green ball and a blue ball,a blue ball,green,blue,grey,yellow,Bad,Good,6|7|4|60|3|63|57|62|5|8|61|1|64|58|2|59,-29.669193267822266,-28.051761627197266,-29.669193267822266,-28.051761627197266
Martyetal_2023,Exp_1,Epistemic,38,Test,Block_A,Nominal,Test,Target_2,Sam,Every visible box contains a blue ball or a yellow ball.,A-AC-AC,a blue ball and a grey ball,a blue ball,a blue ball and a grey ball,blue,yellow,grey,green,Bad,Good,1|4|58|63|6|64|2|57|60|59|61|7|5|8|62|3,-28.2998104095459,-27.3945369720459,-28.2998104095459,-27.3945369720459
Martyetal_2023,Exp_1,Epistemic,39,Test,Block_A,Nominal,Control_2,Good,Sam,Every visible box contains a green ball and a blue ball.,AB-AB-AB,a green ball and a blue ball,a green ball and a blue ball,a green ball and a blue ball,green,blue,grey,yellow,Bad,Good,2|61|63|1|5|6|4|59|8|57|60|3|64|58|62|7,-29.137271881103516,-26.888675689697266,-29.137271881103516,-26.888675689697266
Martyetal_2023,Exp_1,Epistemic,40,Test,Block_A,Nominal,Control_1,Good,Sam,Every visible box contains a blue ball.,A-A-A,a blue ball,a blue ball,a blue ball,blue,yellow,green,grey,Bad,Good,63|5|64|3|2|6|59|57|8|60|58|4|7|61|62|1,-29.193058013916016,-27.918949127197266,-29.193058013916016,-27.918949127197266
Martyetal_2023,Exp_1,Epistemic,41,Test,Block_A,Nominal,Control_4,Bad,Mia,No visible box contains a blue ball or a green ball.,A-CD-A,a blue ball,a grey ball and a yellow ball,a blue ball,blue,green,grey,yellow,Bad,Good,8|59|6|7|1|5|2|58|63|3|64|57|62|60|4|61,-29.418529510498047,-27.95020294189453,-29.418529510498047,-27.95020294189453
